date,NDVI
2019-12-27,4864.879473161033
2020-01-09,5585.1717998075055
2020-01-25,5797.899903753607
2020-02-10,5392.555362030356
2020-02-26,5672.963921373476
2020-03-13,4840.431948245832
2020-03-29,3052.078377705897
2020-04-14,2651.864145309779
2020-04-30,2665.7939786016423
2020-05-16,2556.817865140582
2020-06-01,2706.489425230157
2020-06-17,2885.8795720328435
2020-07-03,3916.4369246081114
2020-07-19,5195.329186364768
2020-08-04,5637.5640706643435
2020-08-20,5523.87484448868
2020-09-05,4210.919382931077
2020-09-21,3338.3911420751438
2020-10-07,2442.8633988554366
2020-10-23,2443.6088579248567
2020-11-08,2782.9112127045228
2020-11-24,3294.1159769008655
2020-12-10,4222.72837972167
2020-12-26,4511.671222664017
2021-01-09,5444.005534167468
2021-01-25,5104.657844080845
2021-02-10,5311.213485941778
2021-02-26,4794.059965165464
2021-03-14,4190.819855685494
2021-03-30,2813.613087832794
2021-04-15,2663.401592435929
2021-05-01,2423.815128141328
2021-05-17,2607.696690719085
2021-06-02,2420.2759392883804
2021-06-18,3107.791490420503
2021-07-04,2802.8243344115454
2021-07-20,4140.334162727047
2021-08-05,5416.550385668077
2021-08-21,5508.843991042549
2021-09-06,4115.661358546902
2021-09-22,4673.342622542922
2021-10-08,4245.963921373475
2021-10-24,3013.6491664593177
2021-11-09,3032.290664100096
2021-11-25,4307.502165543791
2021-12-11,4887.226888667992
2021-12-27,5239.168986083498
2022-01-09,4838.384023099133
2022-01-25,5979.651828681425
2022-02-10,5624.10425478975
2022-02-26,5518.715352077632
2022-03-14,4122.623787011695
2022-03-30,3018.562080119433
2022-04-15,2754.4379198805673
2022-05-01,2559.50534958945
2022-05-17,2276.461557601394
2022-06-02,2392.407812888778
2022-06-18,2649.115700422991
2022-07-04,3766.540432943518
2022-07-20,5438.72654889276
2022-08-05,6105.481214232395
2022-08-21,5023.681015177905
2022-09-06,5523.181388405077
2022-09-22,3773.4125404329443
2022-10-08,3325.622045284898
2022-10-24,2922.684498631501
2022-11-09,3148.5584696823867
2022-11-25,4402.468719923002
2022-12-11,4506.885685884692
2022-12-27,5020.4962723658045
