date,NDVI
2019-12-27,6123.592200288878
2020-01-09,6849.53578528827
2020-01-25,7067.0459741550685
2020-02-10,7045.887283236997
2020-02-26,6666.29913294798
2020-03-13,5811.623073217728
2020-03-29,2946.585982658961
2020-04-14,2251.2148362235075
2020-04-30,2343.791907514451
2020-05-16,2185.6139210019273
2020-06-01,2767.4879576107915
2020-06-17,3466.799132947978
2020-07-03,5464.4185934489415
2020-07-19,5939.1871387283245
2020-08-04,6822.610549132949
2020-08-20,7388.904383429675
2020-09-05,5625.9185934489415
2020-09-21,3939.632947976879
2020-10-07,2578.322254335261
2020-10-23,2444.3928227360316
2020-11-08,3198.8315109343935
2020-11-24,3968.7244035785284
2020-12-10,6007.04718343765
2020-12-26,6474.588589311509
2021-01-09,7389.010685884691
2021-01-25,6877.166003976144
2021-02-10,6906.166425818885
2021-02-26,6628.873795761082
2021-03-14,5133.72350674374
2021-03-30,2591.946531791908
2021-04-15,2201.3128612716764
2021-05-01,2084.1811175337193
2021-05-17,2296.067678227361
2021-06-02,2142.064788053951
2021-06-18,3555.946290944124
2021-07-04,3626.9000481695575
2021-07-20,6003.055154142585
2021-08-05,6666.415703275532
2021-08-21,6233.0055394990395
2021-09-06,6359.23892100193
2021-09-22,4923.088631984588
2021-10-08,4432.73097302505
2021-10-24,3121.339836223508
2021-11-09,3973.7273856858847
2021-11-25,5635.3235586481105
2021-12-11,6425.445594607607
2021-12-27,6580.738324506502
2022-01-09,6220.61282306163
2022-01-25,7261.7547216699795
2022-02-10,7121.842003853568
2022-02-26,5846.804913294799
2022-03-14,4224.813102119462
2022-03-30,2580.848506743738
2022-04-15,2236.887764932563
2022-05-01,2278.952312138729
2022-05-17,2065.48675337187
2022-06-02,2280.2037572254344
2022-06-18,2767.381743737959
2022-07-04,4485.659922928709
2022-07-20,5362.877408477843
2022-08-05,7004.788053949907
2022-08-21,6125.55828516378
2022-09-06,6442.122350674377
2022-09-22,4454.629816955686
2022-10-08,3357.3342967244703
2022-10-24,2871.711705202313
2022-11-09,3292.574801192843
2022-11-25,5809.367047713718
2022-12-11,6086.411892152142
2022-12-27,6859.383967260473
